"No.","Time","Source","Destination","Protocol","Length","Info"
"9576","86.826701","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9577","86.834002","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9578","86.842420","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9579","86.843061","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9580","86.843061","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9581","86.851066","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9583","86.860039","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9584","86.868413","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9585","86.876276","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9588","86.883854","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9589","86.887786","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9590","86.898361","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9592","86.905228","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9593","86.920958","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9594","86.923689","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9595","86.931592","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9598","86.972324","192.168.0.1","192.168.0.217","UDP","552","37903  >  54974 Len=510"
"9600","87.025625","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9603","87.118913","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9604","87.121557","192.168.0.217","85.236.96.230","UDP","74","52851  >  54004 Len=32"
"9614","87.158753","192.207.0.1","192.168.0.217","IDN","250","Unknown (0x9c)"
