"No.","Time","Source","Destination","Protocol","Length","Info"
"9207","85.163460","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9208","85.169667","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9209","85.178606","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9210","85.181828","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9211","85.189515","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9212","85.189626","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9213","85.194115","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9215","85.205194","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9216","85.210272","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9217","85.217696","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9218","85.220537","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9222","85.229082","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9223","85.233532","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9224","85.240639","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9227","85.252038","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9228","85.256355","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9229","85.267251","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9230","85.271657","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9231","85.283118","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9232","85.287320","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9233","85.295869","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9234","85.312217","192.168.0.217","192.207.0.1","IDN","134","Unknown (0x98)"
"9235","85.319220","192.168.0.217","192.207.0.1","IDN","180","Unknown (0x98)"
"9236","85.327667","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9237","85.336709","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9238","85.343988","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9239","85.351073","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9240","85.359105","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9241","85.359105","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9243","85.360869","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9244","85.368335","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9245","85.375550","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9246","85.382546","192.168.0.217","192.207.0.1","IDN","151","Unknown (0x98)"
"9247","85.385829","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9248","85.391855","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9249","85.392258","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9251","85.399397","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9252","85.406347","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9253","85.413955","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9254","85.423156","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9255","85.424055","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9256","85.430093","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9257","85.437031","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9259","85.446327","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9260","85.453360","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9261","85.462571","192.168.0.217","192.207.0.1","IDN","127","Unknown (0x98)"
"9262","85.469800","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9263","85.474693","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9265","85.484553","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9266","85.493900","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9267","85.500425","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9268","85.509332","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9269","85.516986","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9270","85.525541","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9271","85.532834","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9275","85.539042","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9276","85.547077","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9277","85.556586","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9278","85.563698","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9279","85.570714","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9281","85.571275","192.207.0.1","192.168.0.217","IDN","81","Unknown (0x9c)"
"9282","85.571275","192.207.0.1","192.168.0.217","IDN","88","Unknown (0x9c)"
"9283","85.578102","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9284","85.587191","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9289","85.594670","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9292","85.602034","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9293","85.609334","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9298","85.611929","192.207.0.1","192.168.0.217","IDN","96","Unknown (0x9c)"
"9299","85.616775","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9300","85.618904","192.207.0.1","192.168.0.217","IDN","103","Unknown (0x9c)"
"9302","85.626839","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9322","85.634458","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9325","85.641618","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9330","85.649041","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9331","85.653703","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9333","85.665667","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9334","85.673560","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9335","85.681384","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9336","85.688649","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9337","85.695547","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9338","85.700121","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9339","85.712288","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9340","85.719523","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9341","85.724100","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9342","85.731345","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9343","85.739826","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9344","85.748048","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9345","85.755308","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9346","85.763368","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
"9349","85.769274","192.207.0.1","192.168.0.217","IDN","103","Unknown (0x9c)"
"9352","85.770951","192.168.0.217","192.207.0.1","IDN","117","Unknown (0x98)"
